Parameter Combination,Recall,Precision
max_depth_1_eta_0.1_num_round_0,1.0,0.66
max_depth_1_eta_0.1_num_round_2,1.0,0.66
max_depth_1_eta_0.1_num_round_3,1.0,0.66
max_depth_1_eta_0.1_num_round_4,1.0,0.66
max_depth_1_eta_0.2_num_round_0,1.0,0.66
max_depth_1_eta_0.2_num_round_2,1.0,0.66
max_depth_1_eta_0.3_num_round_0,1.0,0.66
max_depth_1_eta_0.3_num_round_2,1.0,0.66
max_depth_1_eta_0.4_num_round_0,1.0,0.66
max_depth_1_eta_0.4_num_round_2,1.0,0.66
max_depth_1_eta_0.5_num_round_0,1.0,0.66
max_depth_2_eta_0.1_num_round_0,1.0,0.66
max_depth_2_eta_0.2_num_round_0,1.0,0.66
max_depth_2_eta_0.3_num_round_0,1.0,0.66
max_depth_2_eta_0.4_num_round_0,1.0,0.66
max_depth_2_eta_0.5_num_round_0,1.0,0.66
max_depth_3_eta_0.1_num_round_0,1.0,0.66
max_depth_3_eta_0.2_num_round_0,1.0,0.66
max_depth_3_eta_0.3_num_round_0,1.0,0.66
max_depth_3_eta_0.4_num_round_0,1.0,0.66
max_depth_3_eta_0.5_num_round_0,1.0,0.66
max_depth_4_eta_0.1_num_round_0,1.0,0.66
max_depth_4_eta_0.2_num_round_0,1.0,0.66
max_depth_4_eta_0.3_num_round_0,1.0,0.66
max_depth_4_eta_0.4_num_round_0,1.0,0.66
max_depth_4_eta_0.5_num_round_0,1.0,0.66
max_depth_5_eta_0.1_num_round_0,1.0,0.66
max_depth_5_eta_0.2_num_round_0,1.0,0.66
max_depth_5_eta_0.3_num_round_0,1.0,0.66
max_depth_5_eta_0.4_num_round_0,1.0,0.66
max_depth_5_eta_0.5_num_round_0,1.0,0.66
max_depth_6_eta_0.1_num_round_0,1.0,0.66
max_depth_6_eta_0.2_num_round_0,1.0,0.66
max_depth_6_eta_0.3_num_round_0,1.0,0.66
max_depth_6_eta_0.4_num_round_0,1.0,0.66
max_depth_6_eta_0.5_num_round_0,1.0,0.66
max_depth_7_eta_0.1_num_round_0,1.0,0.66
max_depth_7_eta_0.2_num_round_0,1.0,0.66
max_depth_7_eta_0.3_num_round_0,1.0,0.66
max_depth_7_eta_0.4_num_round_0,1.0,0.66
max_depth_7_eta_0.5_num_round_0,1.0,0.66
max_depth_8_eta_0.1_num_round_0,1.0,0.66
max_depth_8_eta_0.2_num_round_0,1.0,0.66
max_depth_8_eta_0.3_num_round_0,1.0,0.66
max_depth_8_eta_0.4_num_round_0,1.0,0.66
max_depth_8_eta_0.5_num_round_0,1.0,0.66
max_depth_9_eta_0.1_num_round_0,1.0,0.66
max_depth_9_eta_0.2_num_round_0,1.0,0.66
max_depth_9_eta_0.3_num_round_0,1.0,0.66
max_depth_9_eta_0.4_num_round_0,1.0,0.66
max_depth_9_eta_0.5_num_round_0,1.0,0.66
max_depth_10_eta_0.1_num_round_0,1.0,0.66
max_depth_10_eta_0.2_num_round_0,1.0,0.66
max_depth_10_eta_0.3_num_round_0,1.0,0.66
max_depth_10_eta_0.4_num_round_0,1.0,0.66
max_depth_10_eta_0.5_num_round_0,1.0,0.66
max_depth_2_eta_0.1_num_round_1,1.0,0.68
max_depth_2_eta_0.2_num_round_1,1.0,0.68
max_depth_2_eta_0.2_num_round_2,1.0,0.68
max_depth_2_eta_0.3_num_round_1,1.0,0.68
max_depth_2_eta_0.4_num_round_1,1.0,0.68
max_depth_2_eta_0.5_num_round_1,1.0,0.68
max_depth_2_eta_0.1_num_round_2,0.97,0.68
max_depth_1_eta_0.1_num_round_7,0.96,0.7
max_depth_1_eta_0.4_num_round_5,0.96,0.7
max_depth_1_eta_0.4_num_round_8,0.96,0.7
max_depth_1_eta_0.5_num_round_4,0.96,0.7
max_depth_1_eta_0.5_num_round_5,0.96,0.7
max_depth_1_eta_0.5_num_round_6,0.96,0.7
max_depth_1_eta_0.5_num_round_3,0.96,0.7
max_depth_1_eta_0.1_num_round_6,0.95,0.71
max_depth_1_eta_0.1_num_round_8,0.95,0.71
max_depth_1_eta_0.1_num_round_9,0.95,0.71
max_depth_1_eta_0.2_num_round_4,0.95,0.71
max_depth_1_eta_0.2_num_round_5,0.95,0.71
max_depth_1_eta_0.3_num_round_4,0.95,0.71
max_depth_1_eta_0.3_num_round_5,0.95,0.71
max_depth_1_eta_0.4_num_round_4,0.95,0.71
max_depth_2_eta_0.3_num_round_2,0.95,0.7
max_depth_2_eta_0.4_num_round_2,0.95,0.7
max_depth_2_eta_0.4_num_round_6,0.95,0.72
max_depth_1_eta_0.5_num_round_2,0.94,0.69
max_depth_3_eta_0.1_num_round_1,0.94,0.7
max_depth_3_eta_0.2_num_round_1,0.94,0.7
max_depth_3_eta_0.3_num_round_1,0.94,0.7
max_depth_3_eta_0.4_num_round_1,0.94,0.7
max_depth_3_eta_0.5_num_round_1,0.94,0.7
max_depth_1_eta_0.1_num_round_5,0.94,0.7
max_depth_1_eta_0.2_num_round_3,0.94,0.7
max_depth_1_eta_0.2_num_round_8,0.94,0.72
max_depth_1_eta_0.2_num_round_9,0.94,0.72
max_depth_1_eta_0.3_num_round_3,0.94,0.71
max_depth_1_eta_0.4_num_round_3,0.94,0.71
max_depth_2_eta_0.1_num_round_8,0.94,0.7
max_depth_2_eta_0.1_num_round_9,0.94,0.7
max_depth_2_eta_0.2_num_round_5,0.93,0.7
max_depth_2_eta_0.3_num_round_5,0.93,0.73
max_depth_2_eta_0.3_num_round_6,0.93,0.73
max_depth_2_eta_0.4_num_round_7,0.93,0.72
max_depth_3_eta_0.1_num_round_6,0.93,0.71
max_depth_3_eta_0.3_num_round_3,0.93,0.73
max_depth_1_eta_0.1_num_round_1,0.92,0.7
max_depth_1_eta_0.2_num_round_1,0.92,0.7
max_depth_1_eta_0.3_num_round_1,0.92,0.7
max_depth_1_eta_0.4_num_round_1,0.92,0.7
max_depth_1_eta_0.5_num_round_1,0.92,0.7
max_depth_2_eta_0.1_num_round_4,0.92,0.7
max_depth_2_eta_0.2_num_round_4,0.92,0.7
max_depth_2_eta_0.2_num_round_6,0.92,0.71
max_depth_2_eta_0.1_num_round_6,0.92,0.71
max_depth_2_eta_0.1_num_round_7,0.92,0.71
max_depth_2_eta_0.2_num_round_9,0.92,0.71
max_depth_2_eta_0.5_num_round_6,0.92,0.71
max_depth_3_eta_0.3_num_round_6,0.92,0.73
max_depth_3_eta_0.4_num_round_2,0.92,0.73
max_depth_3_eta_0.5_num_round_2,0.92,0.73
max_depth_2_eta_0.1_num_round_5,0.91,0.71
max_depth_2_eta_0.5_num_round_2,0.91,0.7
max_depth_6_eta_0.4_num_round_2,0.91,0.7
max_depth_2_eta_0.2_num_round_8,0.91,0.7
max_depth_3_eta_0.4_num_round_5,0.91,0.71
max_depth_4_eta_0.2_num_round_4,0.91,0.73
max_depth_2_eta_0.3_num_round_7,0.91,0.73
max_depth_2_eta_0.3_num_round_8,0.91,0.73
max_depth_4_eta_0.5_num_round_8,0.91,0.73
max_depth_3_eta_0.4_num_round_6,0.9,0.71
max_depth_3_eta_0.5_num_round_3,0.9,0.72
max_depth_4_eta_0.1_num_round_1,0.9,0.7
max_depth_4_eta_0.2_num_round_1,0.9,0.7
max_depth_4_eta_0.3_num_round_1,0.9,0.7
max_depth_4_eta_0.4_num_round_1,0.9,0.7
max_depth_4_eta_0.5_num_round_1,0.9,0.7
max_depth_2_eta_0.1_num_round_3,0.9,0.71
max_depth_2_eta_0.5_num_round_7,0.9,0.72
max_depth_3_eta_0.3_num_round_7,0.9,0.73
max_depth_4_eta_0.4_num_round_2,0.9,0.73
max_depth_4_eta_0.5_num_round_2,0.9,0.73
max_depth_5_eta_0.1_num_round_1,0.9,0.7
max_depth_5_eta_0.2_num_round_1,0.9,0.71
max_depth_5_eta_0.3_num_round_1,0.9,0.71
max_depth_5_eta_0.4_num_round_1,0.9,0.71
max_depth_5_eta_0.5_num_round_1,0.9,0.71
max_depth_8_eta_0.5_num_round_7,0.9,0.73
max_depth_2_eta_0.3_num_round_9,0.89,0.73
max_depth_3_eta_0.2_num_round_8,0.89,0.73
max_depth_3_eta_0.4_num_round_7,0.89,0.73
max_depth_4_eta_0.1_num_round_4,0.89,0.73
max_depth_4_eta_0.5_num_round_9,0.89,0.73
max_depth_2_eta_0.4_num_round_8,0.89,0.73
max_depth_3_eta_0.2_num_round_9,0.89,0.73
max_depth_3_eta_0.3_num_round_8,0.89,0.73
max_depth_3_eta_0.5_num_round_4,0.89,0.72
max_depth_3_eta_0.5_num_round_5,0.89,0.72
max_depth_4_eta_0.5_num_round_3,0.89,0.72
max_depth_6_eta_0.1_num_round_1,0.89,0.71
max_depth_6_eta_0.2_num_round_1,0.89,0.71
max_depth_6_eta_0.3_num_round_1,0.89,0.71
max_depth_6_eta_0.4_num_round_1,0.89,0.71
max_depth_6_eta_0.5_num_round_1,0.89,0.71
max_depth_7_eta_0.4_num_round_8,0.89,0.73
max_depth_7_eta_0.4_num_round_9,0.89,0.73
max_depth_8_eta_0.3_num_round_3,0.89,0.75
max_depth_8_eta_0.5_num_round_5,0.89,0.73
max_depth_2_eta_0.4_num_round_9,0.88,0.74
max_depth_3_eta_0.3_num_round_9,0.88,0.73
max_depth_5_eta_0.5_num_round_2,0.88,0.72
max_depth_7_eta_0.1_num_round_7,0.88,0.72
max_depth_8_eta_0.4_num_round_6,0.88,0.74
max_depth_10_eta_0.2_num_round_7,0.88,0.73
max_depth_4_eta_0.5_num_round_5,0.88,0.73
max_depth_6_eta_0.3_num_round_4,0.88,0.73
max_depth_8_eta_0.4_num_round_7,0.88,0.74
max_depth_5_eta_0.5_num_round_7,0.87,0.74
max_depth_7_eta_0.1_num_round_4,0.87,0.71
max_depth_7_eta_0.4_num_round_7,0.87,0.74
max_depth_8_eta_0.2_num_round_3,0.87,0.73
max_depth_8_eta_0.3_num_round_5,0.87,0.74
max_depth_8_eta_0.3_num_round_8,0.87,0.74
max_depth_8_eta_0.4_num_round_4,0.87,0.75
max_depth_10_eta_0.3_num_round_3,0.87,0.73
max_depth_3_eta_0.5_num_round_8,0.87,0.73
max_depth_4_eta_0.3_num_round_5,0.87,0.75
max_depth_5_eta_0.4_num_round_2,0.87,0.72
max_depth_5_eta_0.5_num_round_8,0.87,0.74
max_depth_5_eta_0.5_num_round_9,0.87,0.74
max_depth_7_eta_0.3_num_round_8,0.87,0.74
max_depth_7_eta_0.5_num_round_5,0.87,0.73
max_depth_9_eta_0.1_num_round_6,0.87,0.73
max_depth_10_eta_0.3_num_round_4,0.87,0.73
max_depth_6_eta_0.1_num_round_2,0.86,0.74
max_depth_7_eta_0.1_num_round_3,0.86,0.69
max_depth_7_eta_0.4_num_round_3,0.86,0.72
max_depth_8_eta_0.1_num_round_3,0.86,0.73
max_depth_8_eta_0.2_num_round_6,0.86,0.74
max_depth_8_eta_0.4_num_round_5,0.86,0.75
max_depth_9_eta_0.1_num_round_7,0.86,0.74
max_depth_6_eta_0.1_num_round_3,0.86,0.75
max_depth_6_eta_0.2_num_round_2,0.86,0.74
max_depth_6_eta_0.3_num_round_9,0.86,0.75
max_depth_7_eta_0.2_num_round_5,0.86,0.74
max_depth_7_eta_0.4_num_round_5,0.86,0.74
max_depth_8_eta_0.3_num_round_9,0.86,0.74
max_depth_8_eta_0.4_num_round_3,0.86,0.74
max_depth_8_eta_0.5_num_round_3,0.86,0.75
max_depth_8_eta_0.5_num_round_4,0.86,0.75
max_depth_9_eta_0.4_num_round_6,0.86,0.75
max_depth_9_eta_0.5_num_round_6,0.86,0.74
max_depth_10_eta_0.1_num_round_4,0.86,0.73
max_depth_10_eta_0.3_num_round_5,0.86,0.74
max_depth_10_eta_0.5_num_round_3,0.86,0.72
max_depth_3_eta_0.5_num_round_6,0.85,0.74
max_depth_4_eta_0.1_num_round_5,0.85,0.73
max_depth_4_eta_0.1_num_round_9,0.85,0.75
max_depth_4_eta_0.2_num_round_8,0.85,0.75
max_depth_4_eta_0.2_num_round_9,0.85,0.76
max_depth_4_eta_0.3_num_round_8,0.85,0.76
max_depth_5_eta_0.2_num_round_2,0.85,0.74
max_depth_5_eta_0.2_num_round_3,0.85,0.75
max_depth_5_eta_0.4_num_round_9,0.85,0.75
max_depth_6_eta_0.2_num_round_3,0.85,0.75
max_depth_7_eta_0.3_num_round_7,0.85,0.74
max_depth_7_eta_0.4_num_round_6,0.85,0.74
max_depth_7_eta_0.5_num_round_4,0.85,0.73
max_depth_8_eta_0.1_num_round_4,0.85,0.74
max_depth_8_eta_0.3_num_round_4,0.85,0.76
max_depth_8_eta_0.4_num_round_2,0.85,0.71
max_depth_9_eta_0.1_num_round_3,0.85,0.72
max_depth_9_eta_0.1_num_round_5,0.85,0.73
max_depth_9_eta_0.2_num_round_8,0.85,0.74
max_depth_9_eta_0.3_num_round_8,0.85,0.75
max_depth_9_eta_0.4_num_round_8,0.85,0.77
max_depth_9_eta_0.5_num_round_2,0.85,0.72
max_depth_10_eta_0.2_num_round_8,0.85,0.73
max_depth_10_eta_0.3_num_round_2,0.85,0.74
max_depth_10_eta_0.4_num_round_9,0.85,0.73
max_depth_4_eta_0.3_num_round_7,0.85,0.75
max_depth_5_eta_0.3_num_round_4,0.85,0.76
max_depth_6_eta_0.2_num_round_9,0.85,0.75
max_depth_7_eta_0.2_num_round_4,0.85,0.73
max_depth_8_eta_0.3_num_round_7,0.85,0.73
max_depth_9_eta_0.1_num_round_8,0.85,0.74
max_depth_9_eta_0.3_num_round_5,0.85,0.77
max_depth_9_eta_0.3_num_round_9,0.85,0.75
max_depth_9_eta_0.5_num_round_4,0.85,0.75
max_depth_9_eta_0.5_num_round_7,0.85,0.75
max_depth_10_eta_0.1_num_round_3,0.85,0.74
max_depth_10_eta_0.5_num_round_4,0.85,0.72
max_depth_3_eta_0.5_num_round_9,0.84,0.75
max_depth_4_eta_0.3_num_round_4,0.84,0.74
max_depth_4_eta_0.3_num_round_9,0.84,0.76
