Parameter Combination,Recall,Precision
max_depth_5_eta_0.1_num_round_4,0.84,0.73
max_depth_6_eta_0.1_num_round_4,0.84,0.73
max_depth_6_eta_0.3_num_round_2,0.84,0.74
max_depth_7_eta_0.1_num_round_8,0.84,0.73
max_depth_7_eta_0.2_num_round_3,0.84,0.74
max_depth_7_eta_0.4_num_round_4,0.84,0.74
max_depth_8_eta_0.3_num_round_6,0.84,0.74
max_depth_8_eta_0.4_num_round_8,0.84,0.74
max_depth_8_eta_0.5_num_round_9,0.84,0.75
max_depth_9_eta_0.2_num_round_5,0.84,0.74
max_depth_9_eta_0.3_num_round_7,0.84,0.75
max_depth_9_eta_0.4_num_round_2,0.84,0.74
max_depth_9_eta_0.4_num_round_9,0.84,0.76
max_depth_9_eta_0.5_num_round_5,0.84,0.74
max_depth_9_eta_0.5_num_round_9,0.84,0.74
max_depth_10_eta_0.2_num_round_5,0.84,0.76
max_depth_10_eta_0.3_num_round_8,0.84,0.73
max_depth_10_eta_0.3_num_round_9,0.84,0.73
max_depth_10_eta_0.4_num_round_4,0.84,0.73
max_depth_10_eta_0.4_num_round_5,0.84,0.74
max_depth_10_eta_0.4_num_round_8,0.84,0.73
max_depth_10_eta_0.5_num_round_8,0.84,0.72
max_depth_4_eta_0.3_num_round_6,0.84,0.76
max_depth_4_eta_0.5_num_round_6,0.84,0.74
max_depth_5_eta_0.1_num_round_3,0.84,0.75
max_depth_5_eta_0.3_num_round_2,0.84,0.74
max_depth_5_eta_0.4_num_round_3,0.84,0.75
max_depth_6_eta_0.2_num_round_5,0.84,0.75
max_depth_6_eta_0.3_num_round_6,0.84,0.74
max_depth_7_eta_0.1_num_round_2,0.84,0.72
max_depth_7_eta_0.2_num_round_1,0.84,0.71
max_depth_7_eta_0.2_num_round_2,0.84,0.73
max_depth_7_eta_0.3_num_round_2,0.84,0.74
max_depth_7_eta_0.3_num_round_3,0.84,0.73
max_depth_7_eta_0.3_num_round_5,0.84,0.73
max_depth_7_eta_0.4_num_round_1,0.84,0.71
max_depth_8_eta_0.1_num_round_1,0.84,0.71
max_depth_8_eta_0.2_num_round_5,0.84,0.75
max_depth_8_eta_0.3_num_round_2,0.84,0.76
max_depth_8_eta_0.5_num_round_8,0.84,0.74
max_depth_9_eta_0.2_num_round_6,0.84,0.76
max_depth_9_eta_0.3_num_round_4,0.84,0.75
max_depth_9_eta_0.3_num_round_6,0.84,0.76
max_depth_9_eta_0.4_num_round_5,0.84,0.76
max_depth_9_eta_0.5_num_round_8,0.84,0.74
max_depth_10_eta_0.1_num_round_5,0.84,0.73
max_depth_10_eta_0.2_num_round_6,0.84,0.75
max_depth_10_eta_0.4_num_round_6,0.84,0.72
max_depth_10_eta_0.5_num_round_2,0.84,0.71
max_depth_10_eta_0.5_num_round_6,0.84,0.72
max_depth_10_eta_0.5_num_round_7,0.84,0.74
max_depth_1_eta_0.3_num_round_9,0.83,0.77
max_depth_3_eta_0.5_num_round_7,0.83,0.74
max_depth_5_eta_0.1_num_round_6,0.83,0.75
max_depth_5_eta_0.2_num_round_5,0.83,0.76
max_depth_6_eta_0.2_num_round_7,0.83,0.75
max_depth_7_eta_0.1_num_round_1,0.83,0.71
max_depth_7_eta_0.1_num_round_6,0.83,0.75
max_depth_7_eta_0.3_num_round_1,0.83,0.71
max_depth_7_eta_0.3_num_round_4,0.83,0.73
max_depth_7_eta_0.5_num_round_1,0.83,0.71
max_depth_7_eta_0.5_num_round_3,0.83,0.74
max_depth_8_eta_0.1_num_round_8,0.83,0.75
max_depth_8_eta_0.2_num_round_9,0.83,0.75
max_depth_8_eta_0.5_num_round_6,0.83,0.75
max_depth_9_eta_0.2_num_round_7,0.83,0.75
max_depth_9_eta_0.3_num_round_3,0.83,0.75
max_depth_10_eta_0.5_num_round_5,0.83,0.72
max_depth_4_eta_0.4_num_round_3,0.83,0.76
max_depth_4_eta_0.4_num_round_5,0.83,0.76
max_depth_5_eta_0.5_num_round_4,0.83,0.75
max_depth_6_eta_0.2_num_round_6,0.83,0.75
max_depth_6_eta_0.5_num_round_7,0.83,0.75
max_depth_8_eta_0.4_num_round_1,0.83,0.73
max_depth_8_eta_0.5_num_round_1,0.83,0.73
max_depth_9_eta_0.1_num_round_4,0.83,0.74
max_depth_9_eta_0.2_num_round_1,0.83,0.72
max_depth_9_eta_0.3_num_round_1,0.83,0.72
max_depth_9_eta_0.3_num_round_2,0.83,0.75
max_depth_9_eta_0.4_num_round_1,0.83,0.72
max_depth_9_eta_0.4_num_round_7,0.83,0.76
max_depth_9_eta_0.5_num_round_1,0.83,0.72
max_depth_10_eta_0.1_num_round_2,0.83,0.72
max_depth_10_eta_0.1_num_round_6,0.83,0.73
max_depth_10_eta_0.2_num_round_2,0.83,0.74
max_depth_10_eta_0.2_num_round_4,0.83,0.74
max_depth_10_eta_0.2_num_round_9,0.83,0.74
max_depth_10_eta_0.5_num_round_9,0.83,0.73
max_depth_4_eta_0.4_num_round_4,0.82,0.76
max_depth_5_eta_0.1_num_round_5,0.82,0.74
max_depth_5_eta_0.1_num_round_9,0.82,0.75
max_depth_6_eta_0.2_num_round_4,0.82,0.75
max_depth_6_eta_0.4_num_round_3,0.82,0.73
max_depth_6_eta_0.5_num_round_4,0.82,0.74
max_depth_7_eta_0.3_num_round_9,0.82,0.75
max_depth_9_eta_0.1_num_round_1,0.82,0.72
max_depth_10_eta_0.1_num_round_8,0.82,0.75
max_depth_4_eta_0.5_num_round_7,0.82,0.75
max_depth_5_eta_0.3_num_round_3,0.82,0.75
max_depth_5_eta_0.4_num_round_8,0.82,0.77
max_depth_6_eta_0.1_num_round_6,0.82,0.74
max_depth_6_eta_0.4_num_round_8,0.82,0.76
max_depth_6_eta_0.5_num_round_8,0.82,0.74
max_depth_6_eta_0.5_num_round_9,0.82,0.74
max_depth_7_eta_0.1_num_round_5,0.82,0.75
max_depth_7_eta_0.3_num_round_6,0.82,0.74
max_depth_8_eta_0.1_num_round_5,0.82,0.75
max_depth_9_eta_0.1_num_round_2,0.82,0.72
max_depth_2_eta_0.5_num_round_8,0.82,0.75
max_depth_2_eta_0.5_num_round_9,0.82,0.75
max_depth_3_eta_0.4_num_round_8,0.82,0.75
max_depth_5_eta_0.1_num_round_8,0.82,0.75
max_depth_5_eta_0.2_num_round_9,0.82,0.76
max_depth_5_eta_0.3_num_round_5,0.82,0.76
max_depth_5_eta_0.4_num_round_6,0.82,0.76
max_depth_6_eta_0.2_num_round_8,0.82,0.77
max_depth_6_eta_0.3_num_round_5,0.82,0.74
max_depth_7_eta_0.2_num_round_6,0.82,0.75
max_depth_7_eta_0.4_num_round_2,0.82,0.75
max_depth_9_eta_0.2_num_round_4,0.82,0.74
max_depth_10_eta_0.4_num_round_3,0.82,0.72
max_depth_10_eta_0.4_num_round_7,0.82,0.72
max_depth_3_eta_0.4_num_round_9,0.81,0.75
max_depth_6_eta_0.1_num_round_5,0.81,0.75
max_depth_6_eta_0.1_num_round_7,0.81,0.75
max_depth_6_eta_0.1_num_round_8,0.81,0.74
max_depth_6_eta_0.3_num_round_8,0.81,0.76
max_depth_6_eta_0.4_num_round_4,0.81,0.73
max_depth_6_eta_0.4_num_round_5,0.81,0.74
max_depth_7_eta_0.2_num_round_8,0.81,0.75
max_depth_7_eta_0.5_num_round_2,0.81,0.74
max_depth_8_eta_0.1_num_round_6,0.81,0.75
max_depth_8_eta_0.1_num_round_7,0.81,0.75
max_depth_8_eta_0.2_num_round_1,0.81,0.74
max_depth_8_eta_0.2_num_round_4,0.81,0.76
max_depth_8_eta_0.3_num_round_1,0.81,0.74
max_depth_9_eta_0.5_num_round_3,0.81,0.75
max_depth_10_eta_0.2_num_round_1,0.81,0.72
max_depth_10_eta_0.3_num_round_1,0.81,0.72
max_depth_10_eta_0.3_num_round_7,0.81,0.74
max_depth_10_eta_0.4_num_round_1,0.81,0.72
max_depth_10_eta_0.4_num_round_2,0.81,0.73
max_depth_10_eta_0.5_num_round_1,0.81,0.72
max_depth_1_eta_0.5_num_round_8,0.81,0.76
max_depth_1_eta_0.5_num_round_9,0.81,0.76
max_depth_3_eta_0.2_num_round_4,0.81,0.77
max_depth_4_eta_0.2_num_round_2,0.81,0.76
max_depth_4_eta_0.4_num_round_9,0.81,0.76
max_depth_5_eta_0.1_num_round_7,0.81,0.76
max_depth_5_eta_0.2_num_round_6,0.81,0.77
max_depth_5_eta_0.2_num_round_7,0.81,0.76
max_depth_5_eta_0.5_num_round_3,0.81,0.77
max_depth_5_eta_0.5_num_round_5,0.81,0.77
max_depth_6_eta_0.1_num_round_9,0.81,0.75
max_depth_6_eta_0.4_num_round_6,0.81,0.75
max_depth_7_eta_0.2_num_round_9,0.81,0.75
max_depth_7_eta_0.5_num_round_8,0.81,0.77
max_depth_7_eta_0.5_num_round_9,0.81,0.76
max_depth_8_eta_0.1_num_round_2,0.81,0.75
max_depth_8_eta_0.2_num_round_2,0.81,0.72
max_depth_8_eta_0.2_num_round_7,0.81,0.76
max_depth_8_eta_0.2_num_round_8,0.81,0.77
max_depth_8_eta_0.4_num_round_9,0.81,0.74
max_depth_9_eta_0.4_num_round_4,0.81,0.76
max_depth_10_eta_0.1_num_round_1,0.81,0.72
max_depth_3_eta_0.3_num_round_5,0.8,0.79
max_depth_4_eta_0.4_num_round_8,0.8,0.76
max_depth_5_eta_0.2_num_round_8,0.8,0.76
max_depth_5_eta_0.4_num_round_7,0.8,0.76
max_depth_6_eta_0.5_num_round_3,0.8,0.72
max_depth_7_eta_0.5_num_round_7,0.8,0.77
max_depth_8_eta_0.1_num_round_9,0.8,0.76
max_depth_9_eta_0.1_num_round_9,0.8,0.75
max_depth_9_eta_0.2_num_round_2,0.8,0.73
max_depth_10_eta_0.1_num_round_9,0.8,0.75
max_depth_10_eta_0.2_num_round_3,0.8,0.75
max_depth_5_eta_0.3_num_round_6,0.8,0.76
max_depth_6_eta_0.3_num_round_3,0.8,0.75
max_depth_6_eta_0.5_num_round_2,0.8,0.71
max_depth_7_eta_0.5_num_round_6,0.8,0.76
max_depth_9_eta_0.2_num_round_3,0.8,0.75
max_depth_10_eta_0.1_num_round_7,0.8,0.74
max_depth_10_eta_0.3_num_round_6,0.8,0.74
max_depth_4_eta_0.2_num_round_3,0.79,0.78
max_depth_5_eta_0.4_num_round_5,0.79,0.76
max_depth_5_eta_0.5_num_round_6,0.79,0.77
max_depth_3_eta_0.1_num_round_4,0.79,0.76
max_depth_3_eta_0.2_num_round_7,0.79,0.79
max_depth_4_eta_0.3_num_round_3,0.79,0.79
max_depth_6_eta_0.4_num_round_9,0.79,0.75
max_depth_6_eta_0.5_num_round_5,0.79,0.75
max_depth_7_eta_0.1_num_round_9,0.79,0.76
max_depth_8_eta_0.5_num_round_2,0.79,0.74
max_depth_9_eta_0.2_num_round_9,0.79,0.74
max_depth_9_eta_0.4_num_round_3,0.79,0.76
max_depth_2_eta_0.2_num_round_7,0.78,0.77
max_depth_2_eta_0.4_num_round_3,0.78,0.77
max_depth_2_eta_0.4_num_round_4,0.78,0.77
max_depth_3_eta_0.1_num_round_3,0.78,0.76
max_depth_3_eta_0.1_num_round_5,0.78,0.76
max_depth_4_eta_0.1_num_round_3,0.78,0.75
max_depth_4_eta_0.3_num_round_2,0.78,0.77
max_depth_5_eta_0.3_num_round_7,0.78,0.76
max_depth_5_eta_0.4_num_round_4,0.78,0.75
max_depth_6_eta_0.5_num_round_6,0.78,0.77
max_depth_7_eta_0.2_num_round_7,0.78,0.75
max_depth_1_eta_0.2_num_round_6,0.78,0.78
max_depth_1_eta_0.2_num_round_7,0.78,0.78
max_depth_1_eta_0.3_num_round_6,0.78,0.78
max_depth_1_eta_0.3_num_round_7,0.78,0.78
max_depth_1_eta_0.3_num_round_8,0.78,0.78
max_depth_2_eta_0.5_num_round_5,0.78,0.78
max_depth_6_eta_0.3_num_round_7,0.78,0.76
max_depth_6_eta_0.4_num_round_7,0.78,0.76
max_depth_3_eta_0.2_num_round_2,0.77,0.76
max_depth_3_eta_0.3_num_round_2,0.77,0.76
max_depth_3_eta_0.3_num_round_4,0.77,0.79
max_depth_4_eta_0.2_num_round_7,0.77,0.78
max_depth_4_eta_0.4_num_round_6,0.77,0.76
max_depth_3_eta_0.1_num_round_7,0.77,0.78
max_depth_3_eta_0.2_num_round_3,0.77,0.78
max_depth_3_eta_0.2_num_round_6,0.77,0.79
max_depth_5_eta_0.3_num_round_8,0.77,0.76
max_depth_5_eta_0.3_num_round_9,0.77,0.76
max_depth_3_eta_0.1_num_round_2,0.76,0.76
max_depth_4_eta_0.4_num_round_7,0.76,0.76
max_depth_4_eta_0.5_num_round_4,0.76,0.78
max_depth_3_eta_0.2_num_round_5,0.76,0.78
max_depth_4_eta_0.1_num_round_2,0.76,0.78
max_depth_4_eta_0.1_num_round_6,0.76,0.78
max_depth_5_eta_0.1_num_round_2,0.76,0.77
max_depth_3_eta_0.4_num_round_3,0.75,0.79
max_depth_3_eta_0.1_num_round_9,0.75,0.8
max_depth_4_eta_0.1_num_round_8,0.75,0.78
max_depth_4_eta_0.1_num_round_7,0.74,0.78
max_depth_4_eta_0.2_num_round_5,0.74,0.78
max_depth_2_eta_0.5_num_round_3,0.74,0.78
max_depth_2_eta_0.5_num_round_4,0.74,0.78
max_depth_1_eta_0.4_num_round_6,0.73,0.79
max_depth_1_eta_0.4_num_round_7,0.73,0.79
max_depth_1_eta_0.4_num_round_9,0.73,0.78
max_depth_1_eta_0.5_num_round_7,0.73,0.78
max_depth_3_eta_0.4_num_round_4,0.73,0.79
max_depth_4_eta_0.2_num_round_6,0.73,0.78
max_depth_2_eta_0.3_num_round_4,0.72,0.8
max_depth_2_eta_0.2_num_round_3,0.71,0.8
max_depth_3_eta_0.1_num_round_8,0.71,0.79
max_depth_5_eta_0.2_num_round_4,0.68,0.8
max_depth_2_eta_0.4_num_round_5,0.65,0.8
max_depth_2_eta_0.3_num_round_3,0.63,0.81
